Codigo,ID,Nombre del emplazamiento,Direccion,Municipio,Localidad,Provincia,Latitud,Longitud,Categoria
ARNQ0318,QC056,Neuquen Confluencia(F),Lules 2513,NEUQUEN,NEUQUEN,NEUQUEN,-38.953533,-68.023883,C
ARNQ0321,QC001,Neuquen QC001(A),Pergamino 4905 y Bragado,NEUQUEN,NEUQUEN,NEUQUEN,-38.93325,-68.171444,B
ARNQ0334,QC076,Perito Moreno y Olascoaga (TMA),Alcorta s/n entre Olascoaga y San Luis,NEUQUEN,NEUQUEN,NEUQUEN,-38.958083,-68.059556,B
ARNQ0350,QC354,Neuquen sur(K),Rio Negro  2777,NEUQUEN,NEUQUEN,NEUQUEN,-38.978055,-68.050555,C
ARNQ0362,QCM39,Móvil Neuquen(A),Jose Rosa S/N entre Copahue y Tte. Gral Pablo Richieri,NEUQUEN,NEUQUEN,NEUQUEN,-38.964166,-68.049166,B
ARNQ0368,QC014,Neuquen - 014(A),El Chocon Sin nú entre Alumine  y Correntoso,NEUQUEN,NEUQUEN,NEUQUEN,-38.969182,-68.037631,C
ARNQ0369,QC059,Neuquen Roca(C),Carlos H Rodriguez S/N entre Cnel Pringles  y Angel V Peñaloza,NEUQUEN,NEUQUEN,NEUQUEN,-38.952737,-68.078778,C
ARNQ0370,QC008,Neuquen Sudoeste(A),JJLastra 1580 y Nicolás Palacios,NEUQUEN,NEUQUEN,NEUQUEN,-38.959656,-68.081103,C
ARNQ0371,QC013,Neuquen - 013(A),Gatica y La Plata SN,NEUQUEN,NEUQUEN,NEUQUEN,-38.965781,-68.073414,C
ARNQ0372,QC012,Barrio Don Bosco(A),Gatica y Gutiérrez SN,NEUQUEN,NEUQUEN,NEUQUEN,-38.976153,-68.073161,B
ARNQ0373,QC002,WQC002(E),Combate de San Lorenzo y Dr. Luis Ramón SN,NEUQUEN,NEUQUEN,NEUQUEN,-38.942092,-68.089736,C
ARNQ0374,QC005,WQC005(H),Chajari y Cbte de San Lorenzo SN,NEUQUEN,NEUQUEN,NEUQUEN,-38.949336,-68.089667,B
ARNQ0375,QC058,QC058(D),Novella y Dr Godoy SN,NEUQUEN,NEUQUEN,NEUQUEN,-38.934467,-68.118297,C
ARNQ0377,QC011,Neuquen Barrio 180 viviendas(A),Genco y Lago Viedma SN,NEUQUEN,NEUQUEN,NEUQUEN,-38.932033,-68.149175,C
ARNQ0378,QC099,Neuquén 099(A),Tte. Gral Ricchieri y Tronador  SN,NEUQUEN,NEUQUEN,NEUQUEN,-38.962544,-68.034246,C
